alt,image,link,title
Color photo shows a white tower and black lantern attached to a low building with a red roof and surrounded by green grass.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-1.jpg,/resource/highsm.12127/,"Heceta Head Lighthouse, Pacific Ocean, Oregon"
Color photo shows a  very tall tower with spiral bands in black and white. The base is red and surrounded by green grass.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-2.jpg,/resource/highsm.44760/,"Cape Hatteras Lighthouse, Outer Banks, North Carolina"
Black-and-white photo shows details of the lighting mechanism inside the glass lens.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-3.jpg,/resource/hhh.nc0497.photos/?sp=24,"Bodie Island Lighthouse, Outer Banks, North Carolina. Lamp inside the lens"
Color photo shows a red-painted square tower at the end of a pier.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-4.jpg,/resource/highsm.15168/,"Holland Harbor Light,  Lake Michigan, Michigan. Also known as Big Red"
Black-and-white photo shows a  white-painted tower on the beach. It is leaning over about seven degrees.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-5.jpg,/resource/hhh.fl0421.photos/?sp=1,"Cape St. George Light, Gulf of Mexico, Florida"
"Map with a brown background for both land and water has a red starburst atop a vertical black bar to show lighthouse locations along the Atlantic Ocean coastline. The names of the lighthouses as well as cities, rivers, islands, and  bays, are printed in black.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-6.jpg,/resource/g3721p.fi000169cr/,"A chart exhibiting the light houses and light vessels on the coast of the United States of America : from Maine to Virginia inclusive, 1848. Geography & Map Division"
"Map with a brown tone for land and beige for the lakes has red symbols to show lighthouse locations. The names of the lakes, rivers, islands, bays, and channels are printed in black.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-7.jpg,/resource/g3311p.fi000169a/,"A chart exhibiting the lighthouses of the lake coast of the United States of America. Great Lakes, 1848. Geography & Map Division"
Black-and-white architectural drawing shows two elevations of a tall tower with windows and a black-and-white diamond pattern.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-8.jpg,/resource/hhh.nc0610.sheet/?sp=4,"Cape Lookout Lighthouse, Outer Banks, North Carolina"
Color photo shows from a distance a white tower on a rocky shoreline with red-roof buildings nearby.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-9.jpg,/resource/highsm.45698/,"Portland Head Light, Casco Bay, Maine"
Color photo shows a tower with bands of red and white and a black lantern at the top.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-10.jpg,/resource/highsm.12154/,"West Quoddy Head Lighthouse, Lubec, Maine"
"Black-and-white photo shows a tower with bands of black and white standing behind the keeper's house. A small boy is in the foreground
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-11.jpg,/resource/ppmsca.09037/,"Fire Island Lighthouse, Atlantic Ocean, New York"
"Color photo shows a  tower with white on the bottom and red on the top, at the shore's edge.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-12.jpg,/resource/highsm.12129/,"Barnegat Lighthouse, Atlantic Ocean, New Jersey"
"Black-and-white photo shows an octagonal tower with windows standing next to a keeper's house.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-13.jpg,/resource/ppmsca.09028/,"Lynde Point Lighthouse, Long Island Sound, Connecticut"
"Color photo shows a short tower, painted white, with houses in the background.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-14.jpg,/resource/ppmsca.18159/,"Biloxi Light, Gulf of Mexico, Mississippi"
"Black-and-white architectural drawing shows two vertical sections through the three-story keeper's house that surrounds the tower with a lantern on top.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-15.jpg,/resource/hhh.ca0581.sheet/?sp=4,"Old Point Loma Lighthouse, San Diego Bay, California"
Black-and-white architectural drawing shows the exterior and interior of a tower with seven small plans for comparison to other lighthouses.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-16.jpg,/resource/ppmsca.09362/,"Minot's Ledge Light, Cohasset Harbor, Massachusetts"
"Color photo shows a short white tower placed on a rocky point with a covered walkway to the keeper's house.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-17.jpg,/resource/ppmsca.18187/,"Isles of Shoals Light, Atlantic Ocean, New Hampshire"
Black-and-white architectural drawing shows the tower and several details of the entrance door.,/static/portals/free-to-use/public-domain/lighthouses/lighthouses-18.jpg,/resource/hhh.pa0452.sheet/?sp=3,"Erie Land Light,  Lake Erie, Pennsylvania. Also known as Old Presque Isle Light"
"Color photo shows a white tower with a black lantern, adjacent to a two-story keeper's house. Snow covers the ground.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-19.jpg,/resource/highsm.15342/,"Point Iroquois Lighthouse, Lake Superior, Michigan"
"Color photo shows, at night, a short white tower above a house at the shoreline.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-20.jpg,/resource/highsm.13098/,"Rose Island Lighthouse, Narragansett Bay, Rhode Island"
"Black-and-white architectural drawing shows a vertical section through the tower and the two-story keeper's house. The circular staircase is prominent in the tower.
",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-21.jpg,/resource/hhh.mi0225.sheet/?sp=7,"Au Sable Light Station, Lake Superior, Michigan"
"Color photo shows a short, square, white tower above a  large two-story house behind a fence and flower border.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-22.jpg,/resource/highsm.15337/,"Point Fermin Light, San Pedro Bay, California"
"Color photo looks up the spiral staircase and shows the perforated, red-painted treads.",/static/portals/free-to-use/public-domain/lighthouses/lighthouses-23.jpg,/resource/highsm.15257/,"Spiral staircase at Thirty Mile Point Light, Lake Ontario, New York"
